epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,1810.12,0.698,0.46007,0.0266,0.00281,0.90362,0.89074,0.92342,0.80062,0.63063,0.33889,0.02252,0.00147,0.00071504,0.00071504,0.00071504
38,1854.39,0.69174,0.46309,0.0286,0.00267,0.91136,0.89527,0.93483,0.8079,0.66118,0.361,0.02273,0.00136,0.000704041,0.000704041,0.000704041
39,1899.04,0.67766,0.43275,0.02778,0.00317,0.90545,0.89022,0.92608,0.82293,0.5827,0.34745,0.02224,0.00139,0.000693042,0.000693042,0.000693042
40,1943.52,0.68958,0.45755,0.02752,0.00259,0.9105,0.87236,0.92155,0.80681,0.6312,0.39496,0.02249,0.00159,0.000682043,0.000682043,0.000682043
41,1987.72,0.66759,0.42872,0.02694,0.00317,0.92905,0.89384,0.93158,0.81537,0.58116,0.37921,0.02254,0.00186,0.000671044,0.000671044,0.000671044
42,2034.52,0.66848,0.42221,0.02762,0.00284,0.91313,0.90261,0.93173,0.81213,0.60215,0.37433,0.02284,0.00141,0.000660045,0.000660045,0.000660045
43,2079.39,0.68096,0.41902,0.02805,0.00286,0.90557,0.91098,0.92815,0.81298,0.63012,0.39335,0.02246,0.00126,0.000649046,0.000649046,0.000649046
44,2123.58,0.65185,0.40019,0.02839,0.00303,0.90186,0.9014,0.92954,0.81464,0.58668,0.34399,0.02225,0.00124,0.000638047,0.000638047,0.000638047
45,2166.98,0.65837,0.41135,0.02768,0.00278,0.9386,0.90136,0.94046,0.82708,0.61933,0.33379,0.02252,0.00146,0.000627048,0.000627048,0.000627048
46,2213.86,0.65634,0.41363,0.02551,0.00274,0.91814,0.90341,0.94003,0.82097,0.59576,0.36465,0.02241,0.00195,0.000616049,0.000616049,0.000616049
47,2259.71,0.6342,0.42031,0.02698,0.00259,0.89746,0.8945,0.9299,0.81237,0.589,0.37271,0.02241,0.00163,0.000605051,0.000605051,0.000605051
48,2304.5,0.64841,0.40993,0.02699,0.00295,0.89774,0.86465,0.91556,0.80681,0.61289,0.3499,0.02241,0.00178,0.000594052,0.000594052,0.000594052
49,2349.78,0.65863,0.40138,0.02764,0.00288,0.92289,0.85878,0.92938,0.82341,0.57928,0.36269,0.02246,0.00164,0.000583053,0.000583053,0.000583053
50,2394.72,0.64918,0.3943,0.02783,0.00294,0.91832,0.89555,0.92993,0.82071,0.6193,0.35244,0.02243,0.00163,0.000572054,0.000572054,0.000572054
51,2438.81,0.63945,0.40482,0.0274,0.00252,0.90674,0.89568,0.93581,0.82411,0.63416,0.33164,0.02272,0.00159,0.000561055,0.000561055,0.000561055
52,2484.77,0.62893,0.37834,0.02792,0.00387,0.924,0.8913,0.93531,0.82519,0.62452,0.3123,0.02247,0.00164,0.000550056,0.000550056,0.000550056
53,2530.89,0.6426,0.38651,0.02698,0.00335,0.94373,0.88058,0.93052,0.82515,0.61616,0.31464,0.02255,0.00135,0.000539057,0.000539057,0.000539057
54,2576.61,0.6325,0.37876,0.02786,0.00284,0.94486,0.89905,0.93563,0.82202,0.62104,0.30921,0.02248,0.00154,0.000528058,0.000528058,0.000528058
55,2621.95,0.63717,0.40506,0.02613,0.00232,0.91668,0.86926,0.92259,0.80356,0.66858,0.35513,0.02277,0.00153,0.000517059,0.000517059,0.000517059
56,2665.82,0.63106,0.3979,0.02721,0.0026,0.9048,0.90925,0.93461,0.81156,0.65495,0.38343,0.0226,0.00144,0.00050606,0.00050606,0.00050606
57,2711.48,0.64212,0.39069,0.02816,0.00254,0.90359,0.89441,0.93655,0.82084,0.6149,0.35007,0.02256,0.00151,0.000495062,0.000495062,0.000495062
58,2756.58,0.62857,0.38424,0.02515,0.00297,0.89928,0.89828,0.93171,0.81971,0.59821,0.30561,0.0225,0.00174,0.000484063,0.000484063,0.000484063
59,2800.24,0.60512,0.37406,0.02724,0.00262,0.96021,0.88424,0.9422,0.82987,0.56759,0.32418,0.02234,0.00177,0.000473064,0.000473064,0.000473064
60,2845.07,0.60045,0.36068,0.02692,0.00298,0.93044,0.89007,0.93774,0.82579,0.58316,0.30889,0.02227,0.00159,0.000462065,0.000462065,0.000462065
61,2889.78,0.61388,0.36227,0.02755,0.0028,0.9276,0.90469,0.93766,0.82722,0.5866,0.32964,0.02251,0.00158,0.000451066,0.000451066,0.000451066
62,2935.4,0.60589,0.34883,0.02715,0.00272,0.91385,0.90122,0.93706,0.82485,0.57008,0.31333,0.02234,0.00157,0.000440067,0.000440067,0.000440067
63,2979.97,0.60274,0.35045,0.02632,0.00257,0.91646,0.90283,0.93785,0.83417,0.57252,0.29882,0.02261,0.00151,0.000429068,0.000429068,0.000429068
64,3023.5,0.58974,0.35324,0.0268,0.00246,0.90198,0.91254,0.93666,0.8322,0.57854,0.28605,0.02274,0.00153,0.000418069,0.000418069,0.000418069
65,3068.89,0.60428,0.35606,0.02903,0.00309,0.92843,0.89547,0.92919,0.82388,0.57773,0.29083,0.02227,0.00147,0.00040707,0.00040707,0.00040707
66,3112.52,0.60473,0.35654,0.02647,0.00279,0.94544,0.87439,0.9389,0.82783,0.60202,0.31413,0.02276,0.00158,0.000396071,0.000396071,0.000396071
67,3158.33,0.61572,0.35576,0.02752,0.00229,0.9022,0.8935,0.93543,0.82732,0.58593,0.30728,0.02243,0.00154,0.000385073,0.000385073,0.000385073
68,3204.15,0.60662,0.35879,0.02871,0.0026,0.9207,0.88643,0.93032,0.8239,0.59438,0.30244,0.02238,0.00155,0.000374074,0.000374074,0.000374074
69,3250.52,0.58513,0.34654,0.02666,0.00245,0.92353,0.89318,0.93794,0.82976,0.61807,0.29918,0.02271,0.00152,0.000363075,0.000363075,0.000363075
70,3295.35,0.59268,0.34309,0.02755,0.00239,0.92147,0.89476,0.94432,0.84457,0.57802,0.28237,0.02247,0.00151,0.000352076,0.000352076,0.000352076
71,3339.32,0.58047,0.33022,0.02787,0.00243,0.92564,0.90313,0.94521,0.83428,0.58118,0.29857,0.02237,0.00157,0.000341077,0.000341077,0.000341077
72,3385.21,0.57508,0.33941,0.02689,0.00211,0.91935,0.90134,0.94186,0.83109,0.61879,0.32469,0.02244,0.00171,0.000330078,0.000330078,0.000330078
73,3431.06,0.60159,0.36096,0.02549,0.00228,0.92516,0.91482,0.94522,0.84537,0.57215,0.30874,0.02236,0.00166,0.000319079,0.000319079,0.000319079
74,3478.71,0.59106,0.34744,0.02521,0.00258,0.935,0.88767,0.94129,0.83951,0.57452,0.29459,0.02247,0.00151,0.00030808,0.00030808,0.00030808
75,3524.16,0.58998,0.34081,0.02677,0.00253,0.92186,0.91002,0.94037,0.83674,0.58937,0.29523,0.02224,0.00161,0.000297081,0.000297081,0.000297081
76,3570.32,0.56425,0.31776,0.02741,0.00214,0.9067,0.92626,0.94346,0.84186,0.60234,0.29067,0.02242,0.00138,0.000286083,0.000286083,0.000286083
77,3615.18,0.58249,0.33279,0.02696,0.00229,0.92072,0.91929,0.94502,0.84562,0.56219,0.2891,0.02209,0.00151,0.000275084,0.000275084,0.000275084
78,3660.99,0.59586,0.34396,0.02869,0.00271,0.92129,0.90373,0.94055,0.8321,0.59608,0.30136,0.02237,0.00159,0.000264085,0.000264085,0.000264085
79,3706.94,0.59069,0.34277,0.02919,0.00247,0.93427,0.9072,0.94965,0.84896,0.55491,0.28133,0.02207,0.00165,0.000253086,0.000253086,0.000253086
80,3753.55,0.57986,0.33319,0.02815,0.00222,0.92762,0.90759,0.94713,0.84032,0.5718,0.27989,0.02231,0.00158,0.000242087,0.000242087,0.000242087
81,3797.45,0.5705,0.33129,0.02748,0.00238,0.9286,0.91751,0.94792,0.84877,0.5456,0.26467,0.02218,0.00152,0.000231088,0.000231088,0.000231088
82,3841.73,0.55623,0.31456,0.02845,0.00232,0.95336,0.9045,0.94205,0.84295,0.57006,0.2756,0.0222,0.00172,0.000220089,0.000220089,0.000220089
83,3886.73,0.57428,0.33806,0.02653,0.00214,0.92242,0.91871,0.94792,0.84888,0.53121,0.25434,0.02225,0.00146,0.00020909,0.00020909,0.00020909
84,3931.42,0.54676,0.31646,0.02744,0.00255,0.92187,0.91611,0.94274,0.84356,0.55987,0.27657,0.02233,0.00158,0.000198091,0.000198091,0.000198091
85,3975.85,0.56437,0.33944,0.02535,0.00225,0.90892,0.91682,0.94417,0.84014,0.55458,0.2759,0.02209,0.00148,0.000187092,0.000187092,0.000187092
86,4020.34,0.56299,0.32618,0.02608,0.00244,0.92264,0.90806,0.94857,0.84383,0.54236,0.26853,0.02222,0.00149,0.000176094,0.000176094,0.000176094
87,4065.76,0.54498,0.32003,0.02805,0.00195,0.92668,0.89821,0.94564,0.84355,0.53958,0.26216,0.02208,0.00149,0.000165095,0.000165095,0.000165095
88,4110.58,0.54333,0.31081,0.02613,0.00252,0.91584,0.92388,0.94675,0.84769,0.55231,0.26017,0.02217,0.00149,0.000154096,0.000154096,0.000154096
89,4154.05,0.54023,0.30314,0.02655,0.00224,0.90947,0.91858,0.94673,0.84792,0.55055,0.26954,0.02238,0.0015,0.000143097,0.000143097,0.000143097
90,4199.53,0.54456,0.31012,0.02876,0.00254,0.91215,0.91846,0.94533,0.84709,0.54991,0.26696,0.02207,0.00143,0.000132098,0.000132098,0.000132098
91,4243.21,0.51654,0.26062,0.03246,0.0017,0.92197,0.90818,0.9455,0.84091,0.54986,0.2787,0.02222,0.00156,0.000121099,0.000121099,0.000121099
92,4286.34,0.50915,0.2655,0.03216,0.00191,0.91605,0.92093,0.94621,0.84364,0.54058,0.27462,0.02238,0.00151,0.0001101,0.0001101,0.0001101
93,4330.24,0.51877,0.26343,0.03188,0.00184,0.90746,0.92033,0.9484,0.84397,0.53977,0.27837,0.02235,0.00146,9.91012e-05,9.91012e-05,9.91012e-05
94,4374.52,0.51071,0.27298,0.03106,0.00197,0.93798,0.89988,0.94428,0.84064,0.56891,0.28908,0.02223,0.0015,8.81023e-05,8.81023e-05,8.81023e-05
95,4417.06,0.50707,0.25784,0.02981,0.00184,0.92918,0.90936,0.94548,0.84012,0.558,0.28148,0.02222,0.00157,7.71034e-05,7.71034e-05,7.71034e-05
96,4459.93,0.50217,0.25441,0.03134,0.00234,0.92806,0.90749,0.94895,0.83895,0.54497,0.27776,0.02227,0.00154,6.61045e-05,6.61045e-05,6.61045e-05
97,4502.36,0.51277,0.27081,0.02938,0.00205,0.9272,0.91376,0.94765,0.83611,0.55193,0.28062,0.02233,0.00155,5.51056e-05,5.51056e-05,5.51056e-05
98,4544.54,0.49441,0.26198,0.0313,0.00177,0.91983,0.91456,0.94188,0.83661,0.55469,0.27844,0.02234,0.00158,4.41067e-05,4.41067e-05,4.41067e-05
99,4588.12,0.48825,0.24121,0.03219,0.00207,0.92572,0.9089,0.94386,0.8385,0.549,0.27635,0.02231,0.00155,3.31078e-05,3.31078e-05,3.31078e-05
100,4632.39,0.48719,0.24549,0.03126,0.00199,0.9209,0.91412,0.9438,0.83967,0.55066,0.28213,0.02229,0.00154,2.21089e-05,2.21089e-05,2.21089e-05
